Date,Relative_larval_production,Temperature,Salinity,pH,Ca,CO,aragonite_Ksp
6/11/09,0.00,16.05,28.78,7.916,8.470,100.179,5.376E-07
6/15/09,-0.33,12.95,32.67,7.888,9.614,91.824,6.237E-07
6/19/09,-0.50,14.48,31.63,7.797,9.308,84.451,5.991E-07
6/30/09,-0.67,11.7,33.13,7.713,9.750,65.340,6.355E-07
7/3/09,-1.00,11.42,33.39,7.794,9.826,74.665,6.415E-07
7/4/09,-0.50,11.89,33.21,7.856,9.773,84.840,6.369E-07
7/5/09,-0.17,12.52,33.05,7.827,9.726,99.080,6.326E-07
7/6/09,0.00,13.64,32.92,8.016,9.688,113.838,6.280E-07
7/8/09,0.33,16.05,31.36,8.005,9.229,105.344,5.905E-07
7/13/09,-0.17,15.38,31.57,7.958,9.291,88.831,5.962E-07
7/14/09,-0.67,15.89,31.55,8.024,9.285,99.935,5.948E-07
7/16/09,-0.67,14.37,32.47,7.939,9.555,91.968,6.171E-07
7/20/09,-0.67,12.3,33.25,7.969,9.785,102.431,6.372E-07
7/28/09,0.33,11.15,33.25,8.127,9.785,135.727,6.388E-07
7/29/09,0.33,11.34,33.24,8.056,9.782,111.362,6.383E-07
8/1/09,-0.50,14.26,32.97,7.887,9.703,97.226,6.281E-07
