Date,Time,Temp,Salinity,pH,Saturation State,Upwelling Index,,,,,,,,,,,,,,,,,
5/31/2009,0:00,10.44,32.89,7.829,1.352,16.983,,,,,,,,,,,,,,,,,
5/31/2009,0:15,10.43,32.89,7.819,1.325,16.691,,,,,,,,,,,,,,,,,
5/31/2009,0:30,10.43,32.89,7.810,1.299,16.400,,,,,,,,,,,,,,,,,
5/31/2009,0:45,10.44,32.89,7.805,1.286,16.108,,,,,,,,,,,,,,,,,
5/31/2009,1:00,10.45,32.89,7.795,1.260,15.816,,,,,,,,,,,,,,,,,
5/31/2009,1:15,10.45,32.88,7.791,1.247,15.525,,,,,,,,,,,,,,,,,
5/31/2009,1:30,10.47,32.89,7.781,1.222,15.233,,,,,,,,,,,,,,,,,
5/31/2009,1:45,10.49,32.88,7.781,1.222,14.941,,,,,,,,,,,,,,,,,
5/31/2009,2:00,10.5,32.89,7.776,1.210,14.650,,,,,,,,,,,,,,,,,
5/31/2009,2:15,10.5,32.89,7.776,1.210,14.358,,,,,,,,,,,,,,,,,
5/31/2009,2:30,10.5,32.88,7.767,1.185,14.066,,,,,,,,,,,,,,,,,
5/31/2009,2:45,10.5,32.88,7.757,1.161,13.775,,,,,,,,,,,,,,,,,
5/31/2009,3:00,10.51,32.88,7.753,1.149,13.483,,,,,,,,,,,,,,,,,
5/31/2009,3:15,10.51,32.88,7.748,1.137,13.192,,,,,,,,,,,,,,,,,
5/31/2009,3:30,10.51,32.88,7.734,1.102,12.900,,,,,,,,,,,,,,,,,
5/31/2009,3:45,10.5,32.88,7.719,1.069,12.608,,,,,,,,,,,,,,,,,
5/31/2009,4:00,10.5,32.88,7.715,1.057,12.316,,,,,,,,,,,,,,,,,
5/31/2009,4:15,10.5,32.88,7.719,1.069,12.025,,,,,,,,,,,,,,,,,
5/31/2009,4:30,10.49,32.88,7.710,1.046,11.733,,,,,,,,,,,,,,,,,
5/31/2009,4:45,10.49,32.87,7.710,1.046,11.442,,,,,,,,,,,,,,,,,
5/31/2009,5:00,10.5,32.87,7.691,1.003,11.150,,,,,,,,,,,,,,,,,
5/31/2009,5:15,10.51,32.87,7.686,0.992,10.858,,,,,,,,,,,,,,,,,
5/31/2009,5:30,10.51,32.87,7.681,0.982,10.566,,,,,,,,,,,,,,,,,
5/31/2009,5:45,10.52,32.87,7.677,0.971,10.275,,,,,,,,,,,,,,,,,
5/31/2009,6:00,10.53,32.87,7.681,0.982,9.988,,,,,,,,,,,,,,,,,
5/31/2009,6:15,10.54,32.87,7.667,0.951,9.780,,,,,,,,,,,,,,,,,
5/31/2009,6:30,10.54,32.87,7.662,0.941,9.571,,,,,,,,,,,,,,,,,
5/31/2009,6:45,10.55,32.87,7.658,0.931,9.363,,,,,,,,,,,,,,,,,
5/31/2009,7:00,10.55,32.87,7.648,0.911,9.155,,,,,,,,,,,,,,,,,
5/31/2009,7:15,10.57,32.87,7.648,0.911,8.946,,,,,,,,,,,,,,,,,
5/31/2009,7:30,10.59,32.86,7.653,0.920,8.738,,,,,,,,,,,,,,,,,
5/31/2009,7:45,10.6,32.87,7.653,0.920,8.530,,,,,,,,,,,,,,,,,
5/31/2009,8:00,10.61,32.87,7.643,0.901,8.321,,,,,,,,,,,,,,,,,
5/31/2009,8:15,10.62,32.86,7.643,0.901,8.113,,,,,,,,,,,,,,,,,
5/31/2009,8:30,10.68,32.87,7.657,0.930,7.905,,,,,,,,,,,,,,,,,
5/31/2009,8:45,10.69,32.86,7.653,0.920,7.696,,,,,,,,,,,,,,,,,
5/31/2009,9:00,10.72,32.86,7.657,0.930,7.488,,,,,,,,,,,,,,,,,
5/31/2009,9:15,10.81,32.84,7.653,0.920,7.280,,,,,,,,,,,,,,,,,
5/31/2009,9:30,10.79,32.89,7.676,0.971,7.071,,,,,,,,,,,,,,,,,
5/31/2009,9:45,10.83,32.85,7.695,1.013,6.863,,,,,,,,,,,,,,,,,
5/31/2009,10:00,10.83,32.86,7.676,0.971,6.655,,,,,,,,,,,,,,,,,
5/31/2009,10:15,10.81,32.87,7.662,0.940,6.446,,,,,,,,,,,,,,,,,
5/31/2009,10:30,10.86,32.84,7.667,0.950,6.238,,,,,,,,,,,,,,,,,
5/31/2009,10:45,10.86,32.88,7.667,0.950,6.030,,,,,,,,,,,,,,,,,
5/31/2009,11:00,10.9,32.88,7.671,0.960,5.822,,,,,,,,,,,,,,,,,
5/31/2009,11:15,10.93,32.87,7.662,0.940,5.613,,,,,,,,,,,,,,,,,
5/31/2009,11:30,10.92,32.86,7.643,0.900,5.405,,,,,,,,,,,,,,,,,
5/31/2009,11:45,10.97,32.85,7.643,0.900,5.196,,,,,,,,,,,,,,,,,
5/31/2009,12:00,11.04,32.86,7.676,0.970,5.005,,,,,,,,,,,,,,,,,
5/31/2009,12:15,11.1,32.87,7.700,1.023,5.088,,,,,,,,,,,,,,,,,
5/31/2009,12:30,11.16,32.88,7.719,1.067,5.171,,,,,,,,,,,,,,,,,
5/31/2009,12:45,11.19,32.89,7.714,1.056,5.255,,,,,,,,,,,,,,,,,
5/31/2009,13:00,11.24,32.86,7.728,1.089,5.338,,,,,,,,,,,,,,,,,
5/31/2009,13:15,11.27,32.88,7.747,1.135,5.421,,,,,,,,,,,,,,,,,
5/31/2009,13:30,11.36,32.89,7.771,1.195,5.505,,,,,,,,,,,,,,,,,
5/31/2009,13:45,11.4,32.86,7.785,1.232,5.588,,,,,,,,,,,,,,,,,
5/31/2009,14:00,11.51,32.86,7.813,1.309,5.671,,,,,,,,,,,,,,,,,
5/31/2009,14:15,11.53,32.82,7.828,1.349,5.755,,,,,,,,,,,,,,,,,
5/31/2009,14:30,11.58,32.83,7.837,1.376,5.838,,,,,,,,,,,,,,,,,
5/31/2009,14:45,11.62,32.86,7.823,1.335,5.921,,,,,,,,,,,,,,,,,
5/31/2009,15:00,11.71,32.89,7.832,1.362,6.005,,,,,,,,,,,,,,,,,
5/31/2009,15:15,11.65,32.86,7.818,1.322,6.088,,,,,,,,,,,,,,,,,
5/31/2009,15:30,11.6,32.86,7.780,1.219,6.171,,,,,,,,,,,,,,,,,
5/31/2009,15:45,11.59,32.86,7.775,1.207,6.255,,,,,,,,,,,,,,,,,
5/31/2009,16:00,11.57,32.86,7.799,1.270,6.338,,,,,,,,,,,,,,,,,
5/31/2009,16:15,11.63,32.86,7.813,1.309,6.421,,,,,,,,,,,,,,,,,
5/31/2009,16:30,11.7,32.87,7.832,1.362,6.505,,,,,,,,,,,,,,,,,
5/31/2009,16:45,11.74,32.85,7.889,1.534,6.588,,,,,,,,,,,,,,,,,
5/31/2009,17:00,11.87,32.87,7.927,1.657,6.671,,,,,,,,,,,,,,,,,
5/31/2009,17:15,12.06,32.79,7.922,1.641,6.755,,,,,,,,,,,,,,,,,
5/31/2009,17:30,11.97,32.76,7.932,1.673,6.838,,,,,,,,,,,,,,,,,
